Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
WIN2012-CIS,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success,,1
WIN2012-CIS,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN2012-CIS,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN2012-CIS,,Option:CrashOnAuditFail,,Disabled,,0
WIN2012-CIS,,Option:FullPrivilegeAuditing,,Disabled,,0
WIN2012-CIS,,Option:AuditBaseObjects,,Disabled,,0
WIN2012-CIS,,Option:AuditBaseDirectories,,Disabled,,0
WIN2012-CIS,,FileGlobalSacl,,,,
WIN2012-CIS,,RegistryGlobalSacl,,,,
